,equity
2025-04-14,100000.0
2025-04-15,100062.13060060855
2025-04-16,100261.77818972504
2025-04-17,100296.34615271664
2025-04-18,100646.1793188145
2025-04-19,100807.37526254737
2025-04-20,101035.54747829988
2025-04-21,101245.21202252184
2025-04-22,101404.66571183206
2025-04-23,101570.30200025093
2025-04-24,101770.0533340425
2025-04-25,101853.64879221954
2025-04-26,102313.66421279253
2025-04-27,102467.23948862213
2025-04-28,102724.64829350825
2025-04-29,103035.9050734062
2025-04-30,103226.96652322034
2025-05-01,103492.5612292238
2025-05-02,103689.73120187453
2025-05-03,103884.43810656697
2025-05-04,103934.64239080322
2025-05-05,104279.2146046033
2025-05-06,104602.6136587233
2025-05-07,105030.46819034075
2025-05-08,105272.3441854166
2025-05-09,105390.20931385823
2025-05-10,105781.68398254908
2025-05-11,105855.93445894352
2025-05-12,105858.21093212767
2025-05-13,106047.96458375995
2025-05-14,106182.94414172089
2025-05-15,106426.22467229859
2025-05-16,106559.72712300472
2025-05-17,106669.59954489068
2025-05-18,106767.1611685203
2025-05-19,106895.68254035611
2025-05-20,107026.94406417425
2025-05-21,107053.88806898668
2025-05-22,107312.98347709235
2025-05-23,107521.2258599476
2025-05-24,107546.90295688329
2025-05-25,107899.48618207763
2025-05-26,108086.94530889373
2025-05-27,108380.33106974297
2025-05-28,108535.92278860176
2025-05-29,108586.04885878866
2025-05-30,108872.02140303937
2025-05-31,109050.4378307283
2025-06-01,109156.95744163544
2025-06-02,109255.0794446172
2025-06-03,109265.27505055214
2025-06-04,109346.39743811749
2025-06-05,109328.19506168432
2025-06-06,109365.49744223863
2025-06-07,109418.70870339341
2025-06-08,109453.82707128848
2025-06-09,109451.4242617748
2025-06-10,109647.1090118871
2025-06-11,109899.86550886626
2025-06-12,110160.00911518697
2025-06-13,110140.86903145486
2025-06-14,110165.2611054914
2025-06-15,110423.69198264487
2025-06-16,110558.86543658026
2025-06-17,110561.75139398973
2025-06-18,110561.49345084354
2025-06-19,110660.53526249388
2025-06-20,110742.35226992054
2025-06-21,110857.52593786022
2025-06-22,110853.02090338469
2025-06-23,110786.84584779941
2025-06-24,110832.28181945732
2025-06-25,110822.54884880652
2025-06-26,110972.58599445347
2025-06-27,110979.45164604939
2025-06-28,111025.26174609864
2025-06-29,111092.67584837871
2025-06-30,111167.5006137748
2025-07-01,111262.98174003923
2025-07-02,111487.12773122045
2025-07-03,111526.99790164504
2025-07-04,111598.05653882302
2025-07-05,111667.76411654828
2025-07-06,111789.2382999706
2025-07-07,111788.55429175858
2025-07-08,111813.36400465648
2025-07-09,111906.9652151254
2025-07-10,111966.34278498283
2025-07-11,111933.91629128098
2025-07-12,112000.4863283688
2025-07-13,112037.53184256438
2025-07-14,112094.83662287312
2025-07-15,112086.90099436598
2025-07-16,112122.39665761418
2025-07-17,112104.63699534313
2025-07-18,112130.30685055851
2025-07-19,112150.76058773718
2025-07-20,112179.47278602359
2025-07-21,112339.16425074813
2025-07-22,112372.59417208105
2025-07-23,112449.88338842866
2025-07-24,112521.15906359522
2025-07-25,112598.93710144471
