,equity
2025-04-03,100000.0
2025-04-04,100815.71485293673
2025-04-05,101047.4245054193
2025-04-06,101195.69054925822
2025-04-07,101660.77347895967
2025-04-08,101760.50841230308
2025-04-09,102241.69342850136
2025-04-10,103230.07272771308
2025-04-11,103663.59087154701
2025-04-12,103736.582237895
2025-04-13,104004.70615559394
2025-04-14,104336.74843285336
2025-04-15,104419.1237919122
2025-04-16,104618.77138102867
2025-04-17,104653.33934402023
2025-04-18,105003.17251011811
2025-04-19,105164.36845385097
2025-04-20,105392.54066960349
2025-04-21,105602.20521382542
2025-04-22,105761.65890313564
2025-04-23,105927.29519155448
2025-04-24,106127.04652534606
2025-04-25,106210.6419835231
2025-04-26,106670.6574040961
2025-04-27,106824.23267992568
2025-04-28,107081.64148481179
2025-04-29,107392.89826470973
2025-04-30,107583.95971452384
2025-05-01,107849.55442052729
2025-05-02,108046.72439317801
2025-05-03,108241.43129787047
2025-05-04,108291.63558210668
2025-05-05,108636.2077959068
2025-05-06,108959.60685002682
2025-05-07,109387.46138164426
2025-05-08,109629.33737672011
2025-05-09,109747.20250516172
2025-05-10,110138.6771738526
2025-05-11,110212.92765024706
2025-05-12,110215.20412343122
2025-05-13,110404.95777506352
2025-05-14,110539.93733302446
2025-05-15,110783.2178636021
2025-05-16,110916.72031430826
2025-05-17,111026.59273619424
2025-05-18,111124.15435982391
2025-05-19,111252.6757316597
2025-05-20,111383.93725547784
2025-05-21,111410.88126029029
2025-05-22,111669.97666839598
2025-05-23,111878.21905125123
2025-05-24,111903.89614818692
2025-05-25,112256.47937338134
2025-05-26,112443.93850019743
2025-05-27,112737.32426104661
2025-05-28,112892.91597990543
2025-05-29,112943.04205009234
2025-05-30,113229.0145943431
2025-05-31,113407.43102203208
2025-06-01,113513.95063293923
2025-06-02,113612.07263592101
2025-06-03,113622.26824185597
2025-06-04,113703.39062942134
2025-06-05,113685.18825298814
2025-06-06,113722.49063354243
2025-06-07,113775.70189469721
2025-06-08,113810.82026259229
2025-06-09,113808.41745307861
2025-06-10,114004.10220319092
