,equity
2024-12-31,1000000.0
2025-01-01,1000000.0
2025-01-02,1000000.0
2025-01-03,1000000.0
2025-01-04,1000000.0
2025-01-05,1000000.0
2025-01-06,1000000.0
2025-01-07,1000000.0
2025-01-08,1000000.0
2025-01-09,1000000.0
2025-01-10,1000000.0
2025-01-11,999773.5433837513
2025-01-12,992127.7298825497
2025-01-13,943126.5641746739
2025-01-14,943126.5641746739
2025-01-15,943126.5641746739
2025-01-16,943126.5641746739
2025-01-17,943126.5641746739
2025-01-18,943126.5641746739
2025-01-19,943126.5641746739
2025-01-20,943126.5641746739
2025-01-21,943126.5641746739
2025-01-22,943126.5641746739
2025-01-23,943126.5641746739
2025-01-24,943126.5641746739
2025-01-25,943126.5641746739
2025-01-26,982769.4013801946
2025-01-27,936760.7603406605
2025-01-28,940265.2335261035
2025-01-29,940265.2335261035
2025-01-30,940265.2335261035
2025-01-31,940265.2335261035
2025-02-01,970777.0975577446
2025-02-02,1095775.7813636495
2025-02-03,926491.9098041051
2025-02-04,926491.9098041051
2025-02-05,926491.9098041051
2025-02-06,926491.9098041051
2025-02-07,926491.9098041051
2025-02-08,926491.9098041051
2025-02-09,926491.9098041051
2025-02-10,926491.9098041051
2025-02-11,926491.9098041051
2025-02-12,926491.9098041051
2025-02-13,926491.9098041051
2025-02-14,926491.9098041051
2025-02-15,926491.9098041051
2025-02-16,931266.9238627626
2025-02-17,929936.3308223491
2025-02-18,909998.6374517902
2025-02-19,909998.6374517902
2025-02-20,909998.6374517902
2025-02-21,909998.6374517902
2025-02-22,909998.6374517902
2025-02-23,909998.6374517902
2025-02-24,954427.8086944772
2025-02-25,1015951.5260514885
2025-02-26,1100035.386425682
2025-02-27,1100035.386425682
2025-02-28,1100035.386425682
2025-03-01,1100035.386425682
2025-03-02,1100035.386425682
2025-03-03,1100035.386425682
2025-03-04,1100035.386425682
2025-03-05,1100035.386425682
2025-03-06,1100035.386425682
2025-03-07,1100035.386425682
2025-03-08,1100035.386425682
2025-03-09,1172218.0834747269
2025-03-10,1237416.067923095
2025-03-11,1192370.8030347545
2025-03-12,1192370.8030347545
2025-03-13,1192370.8030347545
2025-03-14,1188745.0670670478
2025-03-15,1191868.767110608
2025-03-16,1191868.767110608
2025-03-17,1191868.767110608
2025-03-18,1191868.767110608
2025-03-19,1191868.767110608
2025-03-20,1191868.767110608
2025-03-21,1191868.767110608
2025-03-22,1191868.767110608
2025-03-23,1191868.767110608
2025-03-24,1191868.767110608
2025-03-25,1191868.767110608
2025-03-26,1191868.767110608
2025-03-27,1191868.767110608
2025-03-28,1191868.767110608
2025-03-29,1200435.825329271
2025-03-30,1213621.0912265521
2025-03-31,1213621.0912265521
2025-04-01,1213621.0912265521
2025-04-02,1213621.0912265521
2025-04-03,1213621.0912265521
2025-04-04,1213621.0912265521
2025-04-05,1213621.0912265521
2025-04-06,1328896.8154101986
2025-04-07,1263449.5125163035
2025-04-08,1344703.9338833315
2025-04-09,1344703.9338833315
2025-04-10,1344703.9338833315
2025-04-11,1344703.9338833315
2025-04-12,1344703.9338833315
2025-04-13,1344703.9338833315
2025-04-14,1344703.9338833315
2025-04-15,1344703.9338833315
2025-04-16,1344703.9338833315
2025-04-17,1344703.9338833315
2025-04-18,1344703.9338833315
2025-04-19,1344703.9338833315
2025-04-20,1344703.9338833315
2025-04-21,1344703.9338833315
2025-04-22,1344703.9338833315
2025-04-23,1344703.9338833315
2025-04-24,1344703.9338833315
2025-04-25,1344703.9338833315
2025-04-26,1344703.9338833315
2025-04-27,1344703.9338833315
2025-04-28,1344703.9338833315
2025-04-29,1344703.9338833315
2025-04-30,1344703.9338833315
2025-05-01,1344703.9338833315
2025-05-02,1344703.9338833315
2025-05-03,1344703.9338833315
2025-05-04,1344703.9338833315
2025-05-05,1344703.9338833315
2025-05-06,1344703.9338833315
2025-05-07,1344703.9338833315
2025-05-08,1344703.9338833315
2025-05-09,1344703.9338833315
2025-05-10,1344703.9338833315
2025-05-11,1344703.9338833315
2025-05-12,1344703.9338833315
2025-05-13,1344703.9338833315
2025-05-14,1344703.9338833315
2025-05-15,1344703.9338833315
2025-05-16,1344703.9338833315
2025-05-17,1344703.9338833315
2025-05-18,1344703.9338833315
2025-05-19,1344703.9338833315
2025-05-20,1344703.9338833315
2025-05-21,1344703.9338833315
2025-05-22,1344703.9338833315
2025-05-23,1344703.9338833315
2025-05-24,1344703.9338833315
2025-05-25,1344703.9338833315
2025-05-26,1344703.9338833315
2025-05-27,1344703.9338833315
2025-05-28,1344703.9338833315
2025-05-29,1338772.447206718
2025-05-30,1398228.3791265865
2025-05-31,1371390.673631319
2025-06-01,1371390.673631319
2025-06-02,1371390.673631319
2025-06-03,1371390.673631319
2025-06-04,1371390.673631319
2025-06-05,1371390.673631319
2025-06-06,1371390.673631319
2025-06-07,1371390.673631319
2025-06-08,1371390.673631319
2025-06-09,1371390.673631319
2025-06-10,1371390.673631319
2025-06-11,1371390.673631319
2025-06-12,1371390.673631319
2025-06-13,1371390.673631319
2025-06-14,1371390.673631319
2025-06-15,1371390.673631319
2025-06-16,1343965.3246011878
2025-06-17,1395437.3440904648
2025-06-18,1395437.3440904648
2025-06-19,1395437.3440904648
2025-06-20,1395437.3440904648
2025-06-21,1395437.3440904648
2025-06-22,1395437.3440904648
2025-06-23,1395437.3440904648
2025-06-24,1395437.3440904648
2025-06-25,1395437.3440904648
2025-06-26,1395437.3440904648
2025-06-27,1395437.3440904648
2025-06-28,1395437.3440904648
2025-06-29,1414278.0691524637
2025-06-30,1414278.0691524637
2025-07-01,1414278.0691524637
2025-07-02,1414278.0691524637
2025-07-03,1414278.0691524637
2025-07-04,1414278.0691524637
2025-07-05,1414278.0691524637
2025-07-06,1414278.0691524637
2025-07-07,1414278.0691524637
2025-07-08,1414278.0691524637
2025-07-09,1414278.0691524637
2025-07-10,1414278.0691524637
2025-07-11,1414278.0691524637
2025-07-12,1414278.0691524637
2025-07-13,1414278.0691524637
2025-07-14,1414278.0691524637
2025-07-15,1414278.0691524637
2025-07-16,1414278.0691524637
2025-07-17,1414278.0691524637
2025-07-18,1414278.0691524637
2025-07-19,1414278.0691524637
2025-07-20,1414278.0691524637
2025-07-21,1414278.0691524637
2025-07-22,1414278.0691524637
2025-07-23,1414278.0691524637
2025-07-24,1435410.2777289932
2025-07-25,1418256.1086729036
2025-07-26,1418256.1086729036
2025-07-27,1418256.1086729036
2025-07-28,1418256.1086729036
2025-07-29,1418256.1086729036
2025-07-30,1402085.7763611437
2025-07-31,1402085.7763611437
2025-08-01,1402085.7763611437
2025-08-02,1402085.7763611437
2025-08-03,1402085.7763611437
2025-08-04,1402085.7763611437
2025-08-05,1402085.7763611437
2025-08-06,1402085.7763611437
2025-08-07,1402085.7763611437
2025-08-08,1402085.7763611437
2025-08-09,1402085.7763611437
2025-08-10,1402085.7763611437
2025-08-11,1402085.7763611437
2025-08-12,1402085.7763611437
2025-08-13,1402085.7763611437
2025-08-14,1402085.7763611437
2025-08-15,1402085.7763611437
2025-08-16,1402085.7763611437
2025-08-17,1423865.3005454713
2025-08-18,1390623.7435983655
2025-08-19,1390623.7435983655
2025-08-20,1390623.7435983655
2025-08-21,1390623.7435983655
2025-08-22,1390623.7435983655
2025-08-23,1390623.7435983655
2025-08-24,1390623.7435983655
2025-08-25,1364960.6630890188
2025-08-26,1364960.6630890188
2025-08-27,1364960.6630890188
2025-08-28,1364960.6630890188
2025-08-29,1381105.8646467715
2025-08-30,1383351.403942796
2025-08-31,1383351.403942796
2025-09-01,1383351.403942796
2025-09-02,1383351.403942796
2025-09-03,1383351.403942796
2025-09-04,1383351.403942796
2025-09-05,1383351.403942796
2025-09-06,1383351.403942796
2025-09-07,1383351.403942796
2025-09-08,1383351.403942796
2025-09-09,1383351.403942796
2025-09-10,1383351.403942796
2025-09-11,1383351.403942796
2025-09-12,1383351.403942796
2025-09-13,1383351.403942796
2025-09-14,1383351.403942796
2025-09-15,1383351.403942796
2025-09-16,1383351.403942796
2025-09-17,1383351.403942796
2025-09-18,1383351.403942796
2025-09-19,1383351.403942796
2025-09-20,1383351.403942796
2025-09-21,1375781.4316808295
2025-09-22,1431652.2483982993
2025-09-23,1419095.7216561665
2025-09-24,1419095.7216561665
2025-09-25,1419095.7216561665
2025-09-26,1419095.7216561665
2025-09-27,1419095.7216561665
2025-09-28,1419095.7216561665
2025-09-29,1419095.7216561665
2025-09-30,1419095.7216561665
2025-10-01,1419095.7216561665
2025-10-02,1419095.7216561665
2025-10-03,1419095.7216561665
2025-10-04,1419095.7216561665
2025-10-05,1419095.7216561665
2025-10-06,1419095.7216561665
2025-10-07,1419095.7216561665
2025-10-08,1419095.7216561665
2025-10-09,1419095.7216561665
2025-10-10,1419095.7216561665
2025-10-11,1419095.7216561665
2025-10-12,1419095.7216561665
2025-10-13,1419095.7216561665
2025-10-14,1419095.7216561665
2025-10-15,1419095.7216561665
2025-10-16,1401008.3263905435
2025-10-17,1455870.5036711576
2025-10-18,1459681.7965002137
2025-10-19,1459681.7965002137
2025-10-20,1459681.7965002137
2025-10-21,1459681.7965002137
2025-10-22,1459681.7965002137
2025-10-23,1459681.7965002137
2025-10-24,1459681.7965002137
2025-10-25,1459681.7965002137
2025-10-26,1459681.7965002137
2025-10-27,1459681.7965002137
2025-10-28,1459681.7965002137
2025-10-29,1459681.7965002137
2025-10-30,1459681.7965002137
2025-10-31,1459681.7965002137
2025-11-01,1459681.7965002137
2025-11-02,1494290.3330989894
2025-11-03,1524799.1084832214
2025-11-04,1651826.312004579
2025-11-05,1655617.639928054
2025-11-06,1655617.639928054
2025-11-07,1655617.639928054
2025-11-08,1655617.639928054
2025-11-09,1655617.639928054
2025-11-10,1655617.639928054
2025-11-11,1655617.639928054
2025-11-12,1655617.639928054
2025-11-13,1714522.8710661116
2025-11-14,1771448.056552436
2025-11-15,1780813.0371358318
2025-11-16,1780813.0371358318
2025-11-17,1780813.0371358318
2025-11-18,1780813.0371358318
2025-11-19,1780813.0371358318
2025-11-20,1780813.0371358318
2025-11-21,1780813.0371358318
2025-11-22,1780813.0371358318
2025-11-23,1780813.0371358318
2025-11-24,1780813.0371358318
2025-11-25,1780813.0371358318
2025-11-26,1780813.0371358318
2025-11-27,1780813.0371358318
2025-11-28,1780813.0371358318
2025-11-29,1780813.0371358318
2025-11-30,1780813.0371358318
2025-12-01,1780813.0371358318
2025-12-02,1780813.0371358318
2025-12-03,1780813.0371358318
2025-12-04,1780813.0371358318
2025-12-05,1780813.0371358318
2025-12-06,1780813.0371358318
2025-12-07,1780813.0371358318
2025-12-08,1780813.0371358318
2025-12-09,1780813.0371358318
2025-12-10,1780813.0371358318
2025-12-11,1780813.0371358318
2025-12-12,1780813.0371358318
2025-12-13,1780813.0371358318
2025-12-14,1757112.75455293
2025-12-15,1759907.2967824405
2025-12-16,1759907.2967824405
2025-12-17,1759907.2967824405
2025-12-18,1710148.4831036918
2025-12-19,1710148.4831036918
